,comment
70,Erpan mana bor
71,Sepanjang video di buat goosebumps di akhir di bikin sedih 😭😭 masterpiece! Thank u udah bikin karya sekeren ini..
72,Keren banget asli
73,OMG!!❤️😍
74,"wah di ending dovi jovi cabut dengan iringan backsound ""when she love me"" ngena bgt asli 😭"
75,Wooow
76,Kereeennnnn 😍😍😍🖤🖤🖤
77,#RI2020!
78,😳😳😳😳
79,Menit 9:15 sumpah merinding 😭😭😭
80,Kerennnnnn 😭😭
81,Trending
82,KERREEENNNN BAAANGEEETTT
83,Mantappppp emang kalo chandra liow yg garap 👍👍👍👍
84,Windah Basudara mana?? Kok nggak ada :(
85,gokil!
86,WELDONE TEAM2ONE
87,Kece parah pass MICNYA DI MUTE HAHAHA
88,So good so nice so sro🔥
89,Vibes nya dapet bnget
90,Terbaik.🔥 #RI2020
91,Kerennnn monang
92,KERENN PETCAHHH BANGET SUMPAHHHH
93,GILAAA DEBESSSSSS
94,Trendinglah wahai video
95,"gila keren parah si story board dllnya, pokoknya gabisa ngomong apa2 lagi dah!!"
96,HANDS DOWN
97,"Rewind Indonesia walaupun banyak orang yang gw gak suka, ngak kenal tapi tidak membuat karya menjadi jelek dan ancur tetapi membuat memaafkan dan malah menjadi kepo thanks YouTube rewind harapan semoga kurangi drama tahun depan dan semoga YouTuber baru bisa belajar dari youtuber lama. Selamat jalan youtuber lama i miss you so much"
98,Kalo tidak ada duo musuh masyarakat mana mau kesini chaks
99,Terharu banget
100,Kok ga ada raja prank yaa wkwkwk
101,#RI2020
102,mantep banget videonya....pokoknya keren lahh
103,"11:42 Goodbye King 👑 , Dulu sempet tau kalian beruda dari film yang berjudul 'Youtubers' , dan banyak youtuber lainnya , dari situlah gw tau berapa menariknya konten Youtuber Indonesia ..."
104,"1.Sedih skinny ga bikin konten lagi
2.gaada Eriko mungkin takut baku hantam lagi padahal seru tapi ngarepnya yg hapus channel si Eriko biar gantian
3.gaada gwnya ah asem tapi gpp mungkin gw di tahun depan"
105,GILAA GUE MERINDING SEPANJANG VIDEO INI
106,"Sedih, gapernah ketinggalan untuk nungguin youtube rewind disetiap tahun nya dan ini ultimate sampe bikin netes air mata . Sukses lah youtube indonesia we proud of you ❤"
107,KEREN!!!
108,Thats epic...
109,Merinding asliii ini keren bangetttt ..dukung karya you tobe lokall❤️❤️❤️❤️
110,"Ads banyak bat om,ini rewind emang niat buat ngehibur apa nyari duit dah,smh."
111,"Keren sumpah.. tapi sedih juga yaa melihat yg telah terjadi, dan harus meninggalkan apa yg lalu untuk terus berjalan... Mengenang you tube lampau nyentuh banget sih..😭"
112,Ga ada ericko lim.. Apa karena candra liaw membenci nya??? :(
113,Trending
114,keren bangeettt😔💔
115,"Pas hanin nyanyi merinding sumpah, dengan scene yg relate sm keadaan sekarang😭😭"
116,keren bat
117,Paling keren sih asliiii 🔥🔥🔥
118,Merinding bgt waktu hanindya nyanyi
119,"Sumpah brooooo..
Yang dari 2010 ngeliat perjuabgab mereka semua..
Sumppahhhh.. meskipun videonya lu ulang berkali kali pasti Nangis😭😭😭😭😭😭😭"
120,"Coki, ama tretan paling de bes anying 🤣🤣🤣"
121,Kerennn Bangtt hyunggg
122,Paman coki dan tretan Muslim
123,Keren banget huaaa
124,makasihhh udah buatt vidio sekeren sebguss inii aku smpe speechless(((:
125,Bikin seneng Ama sedih sih sebenernya #RI2020 is fireee
126,im speechless
127,5:22 ini siapa ya?
128,Absen
129,"555k views=566k like?
Pake dukun?"
130,coba dong sebutin song dari awal sampe ahkir di kasi menitnya
131,Gw merinding anjg
132,11:35 Goodbye SkinnyIndonesia24
133,"anjingggggg bgst bagus bgt terharu cokkkk , seperti berasa seorang professional career yang pensiun"
134,"Mantap Abang Chandra, Skinnyindonesian 24, Aulion, WG, dan mba' Nessie judge. Dan spesial thankyou buat Abang tanboy. Keren abis rewind 2020"
135,"GILA SIH PART REWING KE JAMAN DULU BIKIN NANGIS BANGET😭 
TERIMAKASIH TELAH MEMBUAT VIDEO BERIBU MAKNA INII AAA BIKIN NANGIS😭❤️"
136,Parah sih keren abis 😭😭 ada duka ada suka ❤️❤️ Go Trandiiiiing
137,Trending
138,MAS ANCAAAAAAAA OMAIGAD T□T
139,Goodbye Skinny
140,gilakk 2020 berat banget
141,Demi sih ini merinding sampe akhir!!!
142,"Ada behind the scene ga sih atta sama coki muslim pas syuting reaction nya gmna 🤣.

Btw atta ngapain di ajak sih 🤣"
143,Gak ada agung hapsa yha?
144,Gaske slur
145,That's amazing dude!!!! 🔥 🇮🇩🇮🇩🔥
146,Yuk guys jangan lupa update patch baru untuk 2k21
147,Damn. Speechless
148,"Ini YouTube rewind Ter epic Indonesia menurut gua karna banyak YouTuber besar dan YouTuber"" lama kolab di 1 video besar,kalo sampai gk trending wah parah si"
149,11.18 Mas Ancaaaaaaaaaaaaaaaaaaaaaaa
150,Keren bangettttttt
151,Goks pars sih!!! Mantuull!!!
152,Keren paraahhh!!
153,Hade pisan euyy👍
154,Baru juga abis nntn podcast om deddy corbuzier dengan Skinnyindonesian24 langsung muncul diberanda youtube nih video😁
155,"merinding plus ngakak di 1 video. gila, udah itu aja"
156,scene among us ...gokil parah sih
157,Trending
158,"pengen nangis tapi habis skincare an, jd ditahan bgt ini mah. terima kasih 2020!!!"
159,nangisssssss sebagus ituuuuu asdfghjkl
160,THIS MAKE A MEMORIES
161,Gila sih bagus banget
162,AAAA ADA FADIL JAIDI
163,Nitip sendal dulu sebelum viral #RI2020
164,"11:14 aaa emang kangen banget sama malam minggu miko, sampe sekarang juga suka ngulang2"
165,"Sumpah ini YouTube rewind yg terbaik setelah 2016 🔥🔥🔥 
Gw suka banget semoga sukses slalu kak Chandra dam rekan rekan
Semoga tranding no 1 aminn🙏🙏🙏"
166,Merinding aslii nontonnyaa 😭😭
167,Gokil keren banget harus trending no. 1 sampe Januari
168,Loved
169,Gila keren banget
170,keren bangettttttt
171,ASLIIII MERINDING WOIIIIII
172,Keren gilss monanges
173,Gila parah keren banget😭😭😭
174,Keren gilaaaaa
175,"522rb View
564rb Like
Mantap!!❤️🎉"
176,Gue tonton berulang-ulang
177,Parah ini keren banget 😭👍
178,11.22 mas anca!!!! I got a goosebumps in this part though
179,Jujur gw nonton di rewind kek nonton iklan honda but 🔥🔥🔥
180,Goodbye skinnyindonesian24
181,THE REAL MASTERPIECE
182,Gokilll
183,Keren banget anjim
184,Fix lathi paling OP 🔥🔥
185,SEMPURNAHH
186,Luv
187,Meaningnya dalem
188,"Terima kasih 2020, sudah menemaniku sampai sekarang. 
Tahun 2020 adalah tahun yang paling beda.
THANK YOU 2020
😭🥰😭🥰"
189,Trending
190,Benar benar hal terkecil pun yang trend di youtube 2020 ini tidak terlewatkan  . Hampir semua youtuber yg dari awal juga aada. Best woiii  ❤️
191,KERENNNN WOYYYY GILAAAAA✨✨🥰🥰🥰
192,SANGARRRR❤️
193,THIS IS SOME GOOD QUALITY SH*TTTT
194,The best
195,BAGUS BANGEEET
196,"Cakep nih , artis2 gk usah ada"
197,GILAAAA INI SIH EPIC YOUTUBE REWIND PALING EMOSIONAL BIKIN NANGIS DARI MENIT AWAL GILA GILAAA PECAH SIHHH 😭😭👏👏
198,"PARAH ANJIR, KEREN ABIS!!!!!!"
199,Jadi ke inget vibe tahun 2015 an di menit 10:27-selesai.
200,Trending yuk bisa yukk
201,Aslliiii sintingggg banget nih video!! Sintinggg creatornya!!! *applause!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
202,yaAllah kaget banget ada pak muh🥺
203,KEREN BANGET
204,"demi apa sedih,INDONESIA MAJU INDONESIA KERENNN"
205,Merinding dan nangis nontonnya. Indonesia bangga punya kalian.
206,KEREN BGT WOY TERHARU 🥺😭🙂
207,Keren banget😍
208,"Keren bangettt gokillllllllll, merinding liatnyaaaaaa"
209,Maasyaallah kagum banget ngeliat video  rewind ini 😍😍😍
210,"we all miss old youtube, thankyou smch! :("
211,#Trendingkan
212,Keren banget!!! 😍😍😍
213,Trending
214,PECAHHHHHH
215,HARUS TRENDING INI MAH
216,Keren
217,ini terbaik dari yg terbaik
218,Gila keren parah💥
219,Gila sih ini keren banget
220,TRENDING
221,Kerennn bgt woy sumpahhhh
222,"Pertama kalinya setelah sekian lama komen di yutup, ini keren banget gilaaa"
223,"Bro, gw kagK liat qorygore"
224,Mantap
225,2:58 Denny Caknan dong
226,"B aja sih, sama aja kayak 2019 😒"
227,Sedih asli 🥺
228,TRENDING !!!
229,Ada pak Muh dongg❤️😭😭😭😭
230,Candra Liow kalo udh ngedirect ga ada obat🔥🔥
231,OMG!!! KERENNNN!!!
232,KERENNN BANGETTT!!! NANGISSS :(
233,cakep!!!!!!!!
234,👏👏👏👏👏👏👏
235,"Terimakasih semuanya. Keren dah keren. Dibikin nangis gara-gara ini malem-malem. Jadi nostalgia, jdi inget moment2 yang udh pernah dilewatin sepanjang 2020 ini. Makasih atas kerja keras kalian. Love you"
236,"Keren parah ada tegang,sedih,seru asik"
237,"perkenalkan Anjas Maradita, youtuber dengan konten editing vdeo yang tidak ikut dalam bagian editing video ini :V"
238,CEWE TERCANTIK DI KELURAHAN ...... OUOOOO ...... #FANSMASANCAGARISKERAS
239,Keren
240,"nangis,keren banget"
241,Sumpah keren abis inincug
242,KEREN BANGETTTTTT
243,"Sayang banget jir
Skinnyindonesian24 berhenti ngeyutub"
244,Proud of you youtuber indonesia💖
245,Asli trending
246,#Trendingkan
247,KERENN BANGETT OMG!!!
248,Dari awal sampe akhirr video gada satupun yang jelek😭
249,The best 1000x
250,Gila beda jauh sama tahun kemaren gila gila ngri cuk
251,KEREN PARAH
252,Keren banget
253,Trending 🔥🔥
254,"Cepat sembuh negeriku, mari bersatu, I love Indonesia, Thanks youtuber Indonesia, Banga banget nglihat ini vidio, maksih buat yg sudah mbuat ini vdio, socool"
255,Mantapp🔥🔥
256,bikin sedih ja rewindnya
257,Asli merinding. WAJIB TRENDING 1
258,"I see Tretan's feed, i click it."
259,Asliii kacau keren bangett 💥
260,MERINDING COY MAU NANGIS😭😭❤
261,#RI2020 KERENN BANGETT🔥🔥
262,Kerennnmm
263,Panggah mantap
264,speechless
265,nangiss 😭😭😭😭❤️❤️❤️
266,#RI2020 make me so sad but niceee 💛💛
267,9:42 ASLI MERINDING
268,seneng bgt pas liat buna senyum masi pake hijabnya🥺
269,"Ayo indonesia bersatu, kita ini negara yang keren dan kreatif bgt!
Makasih buat semua yang ikut dalam rewind udah ngasih konten yang bagus bgt! Its worth every second! 🇮🇩❤🤍"
270,#Trending
271,Gilaaaaaa keren parahhh
272,"Ga tau harus mau ngomong apalagi selain KEREN,TERHARU, dan BANGGA 😭💖💖 gak pernah kecewa 😭😭"
273,Salfok Pak Muh wkwkwkwk
274,Gass trending kan
275,GEWLA KEREN POOLLL
276,WAJIB TRENDING GUYS! KEREN SEKALI KUALITAS DUNIA INI REWIND INDONESIA 2020.
277,Keren anjrottt
278,"Bagus sih. Tapi bisa gak, gausa masukin unsur Korea nya. Bukannya apa"", tapi kalo ada kata Indonesia cukup indo aja."
279,TERHARU KEREN BANGETTTTTT!!!!!
280,THE BEST😭❤️
281,Akankah tahun depan bisa liat yang seperti ini lagiii :'(((
282,Sumpah keren 🥰🥰🥰
283,"Intinya Suka Duka telah di Lewati Bersama. Banyak Cerita di Tahun 2020.
👇
Semoga di Tahun 2021 INDONESIA 🇮🇩 Akan Jauh Lebih Baik dan Menjadi Negara Harmoni dan Terbaik di Dunia. Amin 🤲 Walaupun gak jadi No. 1 tetapi dengan menjadi lebih Baik semua akan Menjadi Lebih Indah. "
284,"akhirnyaaaa, love 💕💕💕💕"
285,Trendingkan!!!!
286,Amazing !
287,"Ya ampun merinding liatnya, keren banget 😭😭😭"
288,"Kereeen bangett,kyk filem sumpahhh,tetap semangat berkaryaaa"
289,Amazing 🖤
290,Keren. Merinding liatnya. Masterpiece ini mah
291,asli keren-!!!
292,GOKIL KEREN PARAH. SAMPE MERINDING GW LIATNYA🔥🔥🔥🔥🔥
293,Makasih udah buat youtube rewind :)
294,GILAAA KEREN BANGETT!!!
295,"Young Lex ko ga ada sih,tapi syukur deh"
296,"This is absolutely MASTERPIECE, fix no debat, merinding sepanjang video, good joob brother&sister dan siapapun yg berpartisipasi , kalian keren, dan semoga tahun depan, youtube bisa ""SEHAT"" lgi, semoga semogaa.. dan semogaa.."
297,gilasi keren parah
298,PARAH PARAH KEREN BANGEETT WEII😭🔥
299,💜💜💜
300,Refrensinya Insidious ya😂... KEREN PARAAAHHH ....🔥
301,AH GILAAAA BAGUS BGTTTT
302,07:52 merinding pas Indonesia Pusaka berkumandang
303,Let's gooo #RI2020 you did a great job team
304,Trending
305,Prediksi: 20 juta views
306,Asliii mantepp bangt broo 🧡🌈🌈🌈🌈
307,Indonesia the best sih Pokoknya 😀
308,SIAPA YANG CITA-CITANYA NONTON REWIND TERUS KEREN BANGET☝☝☝
309,Nice
310,Kesini sebelum trending
311,Knp harus ada atta di video sebagus ini whyyyyyyyyyyyyyyy
312,Keren+sedih
313,11:05 lord kungkingkang:))))))
314,aku ga liat keanuuuu
315,Keren abissss uyyyyy
316,merinding cokk
317,OMG this is so cool congrats y'all
318,Keren banget tapi sayang kurang panjang
319,Kerennnnnnn
320,Video terkeren @tim2one always
321,Keren banget.
322,Keren banget sumpahh
323,keren banget parah!!
324,yay ada lagu maafkan aku#terlanjur mencinta
325,Kok nangis sih aku😭😭
326,Trending
327,"Kalo dibikin pakek hati ya gini, nyampee nyaa ke hati juga🖤🖤"
328,2021 its time for agung hapsahhhhhhhh
329,Keren banget
330,Huaaaahhh krenn bangeeett😭👍🏻
331,Definisi merinding sekaligus bangga🔥✨
332,"Keren, ga ada obat sumpah !!!"
333,ngacoo ini keren parah cuy
334,"This is fucking lit, thx buat skinnyfab, the end of yhe legend, the myth, the coolest, most creative, and one and only.... ending nya ngena"
335,Matippsss
336,Kereeenn 🔥🔥
337,Go international ini nah...!!!!!
338,Youtuber bang?
339,"Sedih gue😭😭😭
https://youtu.be/COs2P7S50Kg"
340,Akhirnya Reza Arap Kembali :)
341,Ini pecah bangeet RI 2020 😭😭🔥🔥
342,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
343,petjaaahhh✨💙
344,Pas diplay auto nyebutin nama yutuber satu persatu
345,Gilek parah
346,"🔥🔥🔥🙌🏻👏🏻 keren puol, tp endingnya sedih :’)"
347,Rewind yg paling gw suka
348,parahhh kerennya
349,Gokil parahhhhh
350,Keren parahh merinding nontonnya
351,Trending
352,AAAA GOOSEBUMPS! ASLI MERINDING.  EXCELLENT CHANDRA AULION N TEAM!👏👏👏🔥🔥🔥🔥🔥
353,"KEREN BANGET 😭 Selalu KEREN, semua anak bangsa kreatif dan semangat, nonton ini seerti naik roller coaster naik turun emosional, good lob ❤️"
354,Ngefreeze ya?
355,waiting for BTS
356,Merinding aku nontonnya
357,ARTIS ALAY GA DIUNDANGGG!!!!!! HAHAHAHA
358,Gada ErpanNya Woi Tapi Keren Bangett Sumpeh Daah👍
359,impresive
360,Keren bngtt
361,Keren parah
362,KEREN PARAHHHHH
363,KEREN BANGET WOIII😭💓
364,Great
365,KERENN BANGETT OMGG!!!
366,04:27
367,#RI2020 kaga ada obat nya🔥
368,Kerennn 🔥🔥🔥🔥
369,Ending yang sangat membagongkan:(
370,ini baru berkelas!
371,Trending
372,ASLI KEREN BANGET😭
373,Wow keren banget
374,Kereen parah ❤️❤️
375,"Gilaaaa
Andovi sama jov udh pensiun
Gillaaaaaaa si ini
Paling the best"
376,Waah ini keren abis sedihnya dapet banget👍
377,Keren abis anjir
378,KEREN PARAHH
379,KEREN BGTT KACAUUUUU
380,"KEREN BANGET !!!!!!! BANGET BANGET BANGET , PLEASE , SCENE TERAKHIR 😭😭😭😭😭 GYE NANGIS"
381,Demiapaziiii ni keren bgt
382,"CUKUP DIBAYAR DENGAN LIKE
1:42 = Justin Bieber - Holy ft. Chance The Rapper
1:46 = NIKI - Lose
1:56 = Jawsh 685, Jason Derulo - Savage Love (Laxed - Siren Beat)"
383,Kereeeeeeeeeennnn
384,Trendingkan #RI2020
385,Pokoknya kalau ada bang atta atau kak Aurel pasti ke sini buat nonton
386,4Brothers Mana Kak??
387,Speechless.
388,"Jujur dapet bgt smua makna yg ad di dalamnya, ini baru bener2x rewind satu tahun, terharu dan bener2x ngerasa satu tahun ini yg merasa gk ad yg mw di kenang setelah nonton ini sadar banyak bgt cerita di tahun 2020. Makasih buat semua yg sudah bekerja keras membuat ini, ak sayang semua. Semoga Covid ini hilang di 2021 Aminnn"
389,AYO HARUS TRENDING 1 NIH
390,go trending ✊
391,PECAH
392,Gila merinding parah!!!!
393,"Kuranf teguh suwandi sama erpan 
Masa piraz masuk erpan kaga"
394,Belum tentu setahun sekali kualitas video rewind kaya gini.. bisa jadi 5 tahun lagi baru ada yang menyaingi
395,Ayo trending yak. #RI2020
396,#trending1
397,IMPRESIF
398,proud!!
399,AYOLAH GUYS TRENDINGKAN SAMPAI YT GLOBAL
400,Kok endingnya sedih sih :'(
401,Gokkkkiiillllll bangeeettttt
402,MERINDING HEYYY NANGISS
403,Kerennn!!!
404,Ngeriiii 🔥🔥🔥
405,Knp gw gk masuk😁😅
406,Berharap ada Bobon Santoso tapi gapapalah ini udh kelewat bagusss
407,keren bangeeett!!!
408,Kelassss
409,KEREN BANGET PARAH!!!!!!!!!!
410,#RI2020 top!
411,demi apa bahagia bngt
412,"yutuber artis kemana ya?ga ikutan?atau ga di aku?wkwk
trending pasti nih🔥"
413,Asli keren
414,"RI 2020: LOOK AT U NOW LOOK AT ME

REWIND WORLD 2020 belike:  👁👄👁"
415,Kereeeen bangettt 😍
416,damn merinding.. good jobs guys 🙏🏻
417,Masa gaada lord narkoboy 🙏
418,Gila...bisa dibuat lebihhh lama ga siii 2 jam gitu mantap bgt ini
419,"crazy, yt rewind Indonesia terbaik sejauh ini"
420,Wahhh ada igoy
421,"Gilaaa parah sih ini keren 
Sampe merinding"
422,MANTAP
423,Boom!
424,Pecahh pecah
425,Trendinggkan
426,Keren banget. Sampe terharu liatnya😢
427,"jam 22.49 viewers 522k sedangkan like 558k, yutub ngaco wkwk"
428,Keren bet rewind nya sumpah
429,Kerenn bgtt😭😭❤️❤️
430,Berkelasss bggttt saikkkkkk😭❤️❤️
431,"Spechless...., THANKS A LOT UNTUK SEMUA ORANG YG TERLIBAT DALAM PROJECT INI 🤩🤩"
432,Mantap tahun ini
433,mantap
434,Mancaaaaa........Mnaaaaa.....Mancaaaaa....✔😢
435,WAJIB BANGET NI TRENDING
436,GOKIL ABIS
437,"Yah, meskipun 2020 sudah hancur banget, di januari kita sudah beri banjir, kemudian beberapa bulan kemudian covid-19 masuk ke indonesia, kita diam di rumah terus, semua acara yang udah disusun bareng temen semuanya hancur..... ya bener bener tahun terburuk, tapi lihatlah di akhir tahun kita sudah disuguhi dengan hal yang sangat hangat banget, jadi kalo 2020 udah menjadi tahun terburuk maka jangan buat tahun 2021 menjadi tambah buruk :)"
438,Mantap bro. Keren
439,Akhir nya nunggu selama 4 tahun akhir nya ada rewind yg di direct chandra dkk
440,Gile broo!!
441,KEREEENNN BANGETTT ASLIIII
442,Kerennnn
443,Bener bener kerenn
444,Merinding pas hanin nyanyi
445,Kerennn sangattt😍😍
446,Keren cokkkkkk jadi flashback ke YouTube lama kernnnnnnn nya 😭
447,Mau meninggol hahaha keren anjir vibesnya dapat banget sumpah deh
448,mantap
449,GG parah sih ni....
450,"Kelassss, parahhhh"
451,Kerenn bgt gila
452,"Merinding parah, 2020 memang tahun diselenggarakan ujian massal"
453,Keren abis sumpah
454,Ada pakmuh
455,Goosebumps rekkk 😍
456,Pecah abiss si kereennn
457,Pleas treanding
458,Wuiihh cakeeeppp..... Good😍😍😍
459,"Harusnya bang erpan,erickolim, ryezn, bobon santoso ikut pasti lebih mantap"
460,The long-awaited one has finally arrived
461,keren bangeeeeeeeeeeeet
462,"GAK ADA OBATTTTTT, KEREN PARAHHHHHH 
#RI2020"
463,MASTERPIECE 🔥🔥🔥
464,"Sumpah, keren bgt bgt bgt bgttt"
465,KERENN MASHAALLAH
466,"b aja sih, ga ada nangisnya"
467,4:10 familiar
468,🔥🔥🔥🔥🔥
469,THIS!! What a rewind supposed to be dari awal men....
470,secara tidak langsung disponsori oleh REDDORZ
471,"Gillaaaa keren parahhh 
bangga haru dan emosional banget ...."
472,Kagak ada QG 🙄 😔
473,"keren banget, asli🔥🔥🔥"
474,luar biasa!!
475,SKINNYINDONESIAN24🔥🔥
476,"Bangga, Seneng, terharu, sedih, nangis jadi satu 😭"
477,Sumpah gak boong bikin merinding🤩😭
478,agung hapsah yang mana ya
479,Asli epic parah ...kalo YouTube bikin rewind kalah dari ini payah asli
480,P. P. P. P. P. P. P. P. P.. P. P. P. P. P. P. P. P. P. P. P. P. P. P. P. P
481,speechless
482,"Keren banget tapi sayangnya youtuber gamenya dari game petak2 yg buriq, ini kan bukan 8 bit harusnya bisa gamer kayak milhya, ekoju, donkey, Benny Moza, bang Alex dll"
483,KERENN PARAH ASTAGAAA!!!
484,"Ah mantapp. 
Terus berkaryaa para kreatorr. 
Kami sangat terhibur dengan konten2mu.."
485,11/10
486,Keren ajg!!!!!!
487,Gila bgt parah
488,ericko lim
489,It's a lit. I say that this is a truly masterpiece. I'm so proud of you guys who behind this project. Keep shining kings and queens!!!
490,"Gokillll !!! Keren Parah, merinding anjir"
491,"Keren bangett! Senyum² sendiri liatnyaa, uhuyyy, sukses semuanyaa"
492,damn it
493,PARAH PARAH PECAH COY💣💥
494,#RI2020
495,Gilssssss keren batt
496,Please trendingg
497,lah kenapa malah nangis 😭😭 ..
498,See you 2020
499,Huaaaas gilaaa kerennn parahh sihhh
500,Jir likenya 550rb tapi yg nonton kurang dari 500rb anjay
501,Keren bangettt sampe merinding guaaa
502,DEMI APA KERENN BANGETTT!!! WOI TRENDING KAN CEPETAN
503,PAK MUHHH MOOD SEKALIIIIIII
504,demi apa part #NyalakanIndonesia it's make me cry :(
505,THIS IS LITT 🔥🔥🔥
506,"GG nih, pas scene lagu Blackpink di medley sama Lathi ! Keren dah sumpah. Bangga 🇮🇩"
507,"Shame on you Yt rewind, ours is better #RI2020"
508,"Thanks 2020, Thank you atas semua pelajaran berharga nya ❤️"
509,Keren parah sih..
510,"FIX MUST TRANDING 1 
EPIC VIDIO"
511,"Satu lagi masterpiece dari Indonesia, Good Job 2020, sukses terus Indonesiaku"
512,Gajelas cok seru juga ngga
513,KEREN BGT ❤️
514,PARAAAAAAAAAAH 🔥🔥🔥 TERIMA KASIH BANYAK
515,"Yg nonton 446k, yg like 550k, HOLYYYYYY GILA"
516,Yo lets go trending!!!!!!!
517,"Wow keren.. Semoga saya bisa bergabung di tahun depan.. Jika tidak tahun depanya lagi.. 
Tetap semangat berkarya..."
518,"Wow, karya luarbiasa"
519,Youtube Rewind Indonesia 2020 Gak Ada Obat 🔥🔥🔥
520,Epick
521,KERENNNNN BANGETT
522,Keren sangat
523,BAGUS BANGET PARAH
524,Kok bagus si
525,Paraaaaaaahhh anjir 👏👏😭😭😭😭
526,Anjir banyak yang udah ada tanda √ nya dong kapan gua kek gitu:/
527,Ini rewindnya YouTube apa tiktok 😂
528,"Masih di pantau...

-Trendingkan #RI2020"
529,sangat menyentuh😭
530,Ini ngaco kerennya 😭
531,Parah si keren banget
532,Keren banget
533,Kereen bgt yampun
534,Youtube rewind ter THE BEST
535,gilaaaaaaaaaaa ini baru the best
536,Sumpah gak bisa ngomong apa-apa lagi... Kereeeeeennn
