No,Komentar,P1,P2,P3,Hasil,,
311,The Santoso mana,0,0,0,Netral,,
312,Pak muh lucu bgT,1,1,1,Positif,,
313,Saking kerennya..,1,1,1,Positif,,
314,"MERINDINGG BGTTT BTW PENGEN NANGIS SCENE AKHIR :( thankyou skinnyindonesian24, youtuber yg gue tonton sejak 2014 :')",1,1,1,Positif,,
315,Semangat Indonesia!â¤ï¸ðŸ‡®ðŸ‡©,1,1,1,Positif,,
316,KERENNN BNGT WOYYYY!!!!,1,1,1,Positif,,
317,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
318,Kerennnn bangetttttt,1,1,1,Positif,,
319,KEREN  CUY!!,1,1,1,Positif,,
320,"Ini Rewind yg me rewind video yt rewind dan video"" yg di rewind
Sumpah ini gila sihðŸ˜­ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰",1,1,1,Positif,,
321,Keren woyyyyyyy!!!,1,1,1,Positif,,
322,"Demi apasih ini merinding banget, sumpah asli PETJAH BANGEEETTT ini, goks youtube rewind 2020, salut buat chandraliaw, skinnyindonesia24, nessi judge, dan juga tim. #proudofyou guys. #RI2020",1,1,1,Positif,,
323,woah!! keren bangettt,1,1,1,Positif,,
324,"Sumpah gak tau kenapa aku ngerasa sedih,,",1,1,1,Positif,,
325,WOY GOFAR HILMAN MANA ANJER,-1,-1,-1,Negatif,,
326,Gk seru yang terkenal2 gk masuk kayak brando dll,-1,-1,-1,Negatif,,
327,Trendingkannnnnn,1,1,1,Positif,,
328,ngericcc ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
329,Finally,1,1,1,Positif,,
330,Asli keren ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
331,Gilaaa merinding gua nontonnya,1,1,1,Positif,,
332,"Keren bangettt remix muziknya dan videonya parahhhh kerennn

Salam dari malaysia ðŸ‡²ðŸ‡¾",1,1,1,Positif,,
333,Nice :'),1,1,1,Positif,,
334,KERENNNN BANGETTTT SUMPAHHHH,1,1,1,Positif,,
335,Mana nih tim rans garis keras? WKWKWK,0,0,0,Netral,,
336,"Bimo sama qorygore ga masuk ,sibuk yah",0,0,0,Netral,,
337,"Anjir lah keren abis video thanks creator indonesia yang selalu berjuang untuk terus berkarya, gw ngerasain banget emosi video ini. Stand tall my friend goodluck terus!",1,1,1,Positif,,
338,INDAH hanya satu kata berjuta maknaâ¤ï¸,1,1,1,Positif,,
339,Rewind Indonesia 2020. #RI2020,1,1,1,Positif,,
340,KEREN BANGET WOI GILAAA GOKIILLL,1,1,1,Positif,,
341,Kereeeeen bangeeeeet.. Rewind Indonesia terkeren 2020 ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
342,INI APAANSIHHHH KO KEREN BNGTTTðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ,1,1,1,Positif,,
343,KERENNN,1,1,1,Positif,,
344,mantebbbbðŸ’¥ðŸ’¥ðŸ’¥,1,1,1,Positif,,
345,SUMPAH DEH KEREN BGT,1,1,1,Positif,,
346,#RI2020 #Trendingkan,1,1,1,Positif,,
347,masterpiece! emosinya kebawa bangen nontonnya. terimakasih udah kasih kami hadiah terbaik di 2020 yang gelap ini. sampai jumpa lagi semuanya di tahun depan!,1,1,1,Positif,,
348,"YouTube rewind 2018 nenangis melihat ini,
Yg setuju likeðŸ‘
Jumlah orang yg setuju
ðŸ‘‡",1,1,1,Positif,,
349,Keren banget sumpah,1,1,1,Positif,,
350,Yg ngedis gapunya otak. Luar biasa #RI2020 ayo kita #nyalakanIndonesia,1,1,1,Positif,,
351,Terimakasih tahun 2020:),1,1,1,Positif,,
352,Sumpah Keren Parah,1,1,1,Positif,,
353,"Keren bangett parah taun inii ,yg dislike ada masalah idup ape sii ehe :)",1,1,1,Positif,,
354,Bimo gakeliatan ya?,0,0,-1,Netral,,
355,Wah mantep sih ini,1,1,1,Positif,,
356,Suka banget Ama suaranya awkarinâ¤ï¸ðŸ˜˜,1,1,1,Positif,,
357,What a masterpiece! No one could've done it better than you guys. Thankyou for everything.,1,1,1,Positif,,
358,SO PROUD TO ALL THE CREW THAT WORK BEHIND THIS MASTERPIECEEEEEEEEE. RISE AND SHINE #RI2020,1,1,1,Positif,,
359,"Wajib trending ini mah ðŸ”¥ðŸ”¥ðŸ”¥

#RI2020",1,1,1,Positif,,
360,kereeeennn bgttt jujuurrrrrrðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­â¤â¤â¤,1,1,1,Positif,,
361,gila pecahðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
362,woahhhh keren gilaa,1,1,1,Positif,,
363,This is a masterpiece,1,1,1,Positif,,
364,Keren parahhhhhðŸ”¥,1,1,1,Positif,,
365,Kereeeeen bgt,1,1,1,Positif,,
366,Keren bgt,1,1,1,Positif,,
367,"Sungguh penutup yang sangat baik diakhir tahun ini, semoga kita semua selalu diberi kesehatan dan keselamatan di tengah keadaan bumi pertiwi kita yang sedang di uji ini, amin:) #RI2020",1,1,1,Positif,,
368,Go trending!!!!,1,1,1,Positif,,
369,GILAKKKKKKK,1,1,1,Positif,,
370,merinding :(,1,1,1,Positif,,
371,pak muh tumben ga pegang remot,0,1,0,Netral,,
372,hadir dan like...,1,1,1,Positif,,
373,MantappðŸ‘ðŸ»,1,1,1,Positif,,
374,#RI2020 #Trendingkan,1,1,1,Positif,,
375,"Gilaaaaakkk, antara kagum, sedih sama ngga tau mau ngomong apa. KEREN BANGET LAAHH ðŸ’›ðŸ’›ðŸ’›ðŸ’›",1,1,1,Positif,,
376,#RI2020,1,1,1,Positif,,
377,AAAA SUCH A GOOD OLD MEMORY,1,1,1,Positif,,
378,ayo trendingkan!!,1,1,1,Positif,,
379,Keren ini sih,1,1,1,Positif,,
380,Liat sekali gak cukup. ðŸ˜,1,1,1,Positif,,
381,Ga ada BOBON?!!!,0,0,-1,Netral,,
382,over power ðŸ‡®ðŸ‡©,1,1,1,Positif,,
383,"Gapaham lagi sih gua, keren banget dah...",1,1,1,Positif,,
384,"Kek lucu terus ada rasa bangga tapi sedih pengen nangis. Kek campur2 gitu. 2020 emang tahun terberat kita, tapi kita juga lah yang saling menguatkan saru sama lain. Saling menghibur, saling bantu membantu. Stay strong buat kita semua.",1,1,1,Positif,,
385,Arief muhamad mana,0,0,-1,Netral,,
386,MERINDDIIINGGGG,1,1,1,Positif,,
387,Baru 3 jam ud 530+ribu,1,1,1,Positif,,
388,MerindingðŸ”¥,1,1,1,Positif,,
389,APA INI? KENAPA KEREN BGT GINIðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
390,KERENNN BANGET,1,1,1,Positif,,
391,KEREN BGT AAAAðŸ˜ðŸ˜ðŸ˜,1,1,1,Positif,,
392,Classsssâ¤ï¸â¤ï¸â¤ï¸,0,1,0,Netral,,
393,"#ANJAY
#EWINGSD",0,1,1,Positif,,
394,Trending,1,1,1,Positif,,
395,#RI2020 #Trendingkan,1,1,1,Positif,,
396,KEREN BGTTT FIKSSSSSS. SENENG SEDIH CMPUR ADUK PAS NNTN INI :'),1,1,1,Positif,,
397,"Youtube : No rewind this year

Indonesian youtubers : fine, we'll do it ourself",1,1,1,Positif,,
398,WAH GILAA,1,1,1,Positif,,
399,Kok gue jadi sedih ya,1,1,1,Positif,,
400,"kesini cuman gara"" ad coki muslim",0,1,1,Positif,,
401,Sedeeeppp betulll nih editornya. Good job all!!!,1,1,1,Positif,,
402,"Sad ending yaa ?
Persembahan terakhir SkinyIndonesia24 di yutub ?",0,1,1,Positif,,
403,Keren bjirðŸ”¥ðŸ”¥,1,1,1,Positif,,
404,GO INDONESIA! STAY STRONG ðŸ”¥,1,1,1,Positif,,
405,keren parah sih,1,1,1,Positif,,
406,Goks boy,1,1,1,Positif,,
407,DAMNNNN,1,1,1,Positif,,
408,Best nyaaaâ¤â¤â¤â¤â¤,1,1,1,Positif,,
409,Yok bisa trending yok,1,1,1,Positif,,
410,Gokilll wehh keren bngt merinding parah!!!,1,1,1,Positif,,1
411,KEREN BGT,1,1,1,Positif,,
412,"Good job all, congratulation",1,1,1,Positif,,
413,"THANK YOU ALL CREW, YOUTUBERS, EVERYONE FOR MAKING THIS MASTERPIECE, ITS BEAUTIFULLY LIT.
And guys, we made it this far, we are one, don't let anyone tells us another. #RI2020",1,1,1,Positif,,
414,"Perasaan cepet banget deh, kayaknya baru kemaren nonton rewind yt 2019, he ini udah rewind 2020 aja TT TT mana keren bgt wuyy",1,1,1,Positif,,
415,"Kualitas international 
Heads up buat tim produksi",1,1,1,Positif,,
416,Number One ini mahðŸ‘ðŸ‘ðŸ‘ðŸ‘,1,1,1,Positif,,
417,keren bgt!!,1,1,1,Positif,,
418,"Keren bangeeet thankyou semuaaa
selalu paling ditunggu di akhir tahun",1,1,1,Positif,,
419,Trendingggg! AYOOO,1,1,1,Positif,,
420,SUMPAH KECEEEE BGT!!! SPEECHLESS!!,1,1,1,Positif,,
421,Sumpah bikin merinding sekaligus sedih,1,1,1,Positif,,
422,Goks YouTube REWIND 2020 THE BEST LAAH,1,1,1,Positif,,
423,IM SO SAD :((,1,1,1,Positif,,
424,KERENN!!!!!!,1,1,1,Positif,,
425,#RI2020 #Trendingkan,1,1,1,Positif,,
426,GG,1,1,1,Positif,,
427,JANGAN KOMEN PAKE EMOT GAES KITA TR3NDINGKAN!,1,1,1,Positif,,
428,"bangga bgt guaaaa asli, pas ada buna seneng bgt liatnya",1,1,1,Positif,,
429,EPIC VIDEO,1,1,1,Positif,,
430,Raffi Ahmad Baim Wong?,0,0,0,Netral,,
431,11:43 THANK YOUU SO MUCH SkinnyIndonesian24 see u when i see u,1,1,1,Positif,,
432,Terimakasih udah buat aku menangis,1,1,1,Positif,,
433,"saking kerennya sampe merinding nontonnya, mo nangis ðŸ˜­. Keren parah",1,1,1,Positif,,
434,sumpah keren banget sampe merinding nontonyaðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
435,Keren,1,1,1,Positif,,
436,Kerennnnnnn bangettttttttttt,1,1,1,Positif,,
437,"Saat pakai APD itu harusnya pakek sarung tangan karet, biar lebih wow",0,1,0,Netral,,
438,YT rewind 2020 lebih baik daripada tahun 2019,1,1,1,Positif,,
439,"Thank You, Thank You, Thank You. That was Beautiful Rewind. #RI2020",1,1,1,Positif,,
440,KEREN BANGETT,1,1,1,Positif,,
441,Mana nihh bimopd kok ga adaaa,0,1,-1,Netral,,
442,Keren parahh ðŸ‘ðŸ‘ðŸ‘,1,1,1,Positif,,
443,"Keren, makasi yg udah buat.... â¤â¤",1,1,1,Positif,,
444,Merinding ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ kuat lah indonesia,1,1,1,Positif,,
445,Kok gak ada CHIKA terngiang ngiangðŸ˜­ðŸ˜­,0,0,0,Netral,,
446,Sumpah keren bangetðŸ”¥ðŸ”¥ðŸ‘ðŸ‘,1,1,1,Positif,,
447,"AHHHHH AKU MASIH MUDA TAPI MERASA SUDAH TUA, DARI AWAL KARIER YOUTUBER INDONESIA, DARI REWIND2 SBLMNYA, GW IKUTIN SEMUANYA DAN EMANG JUJUR GW UDAH JENUH DENGAN TAHUN INI, BUT THX GUYS VIDEO INI MENGOBATI GW. I'M HAPPY BUT CRYING TOO",1,1,1,Positif,,
448,#RI2020 #Trendingkan,1,1,1,Positif,,
449,"Sinta jojo dong, bikin kangen masa2 warnet",1,1,1,Positif,,
450,gilaa keren bgt nangisðŸ˜­ðŸ˜,1,1,1,Positif,,
451,Ternyata ada leo,0,1,1,Positif,,
452,"W rasa komen w gk bakal kebaca karna udh rame yg komen. Tp, w bakal bilang wawww. W benar2 suka klu sesuatu itu benar2 kreatif. Rewind kali ini benar2 berkonsep, tersusun. Mantap pokokny",1,1,1,Positif,,
453,Sumpah detik-detik terakhir bikin gw nangis fr T_T,1,1,1,Positif,,
454,Semoga tahun 2021 corona/COVID-19  sudah tiada ,1,1,1,Positif,,
455,FUCKING LIT ðŸ”¥ðŸ”¥ðŸ”¥ THANK YOU,1,1,1,Positif,,
456,Tu atta kw atau asli?,0,0,0,Netral,,
457,keren bgtðŸ˜ðŸ¥º,1,1,1,Positif,,
458,Masih bagusan yg 2018 by erickolim ðŸ˜ŽðŸ‘,-1,1,-1,Negatif,,
459,"10:26 dibagian wajah terlihat lightning berwarna merah, tetapi saat scene awal diganti 10:29 , orang yang paling depan tidak terkena lightning itu, saat ganti scene lagi 10:48 , lightning itu memancarkan cahaya merah lagi, tetapi lagi nih, discene berikutnya warna lightning berubah menjadi putih 10:45 ..... (Hanya memberitahu letak kesalahan ya teman-teman jangan dianggap serius)",0,1,0,Netral,,
460,Kerennnnn bgtttt woiii,1,1,1,Positif,,
461,"Gokiiillllllllll, kereennn bggttðŸŽ‰",1,1,1,Positif,,
462,wagelasehhh,1,1,1,Positif,,
463,Ini keren gila,1,1,1,Positif,,
464,"Merinding gelo, keren parah sihðŸ”¥ðŸ”¥",1,1,1,Positif,,
465,makasih 2020:),1,1,1,Positif,,
466,#RI2020 #Trendingkan,1,1,1,Positif,,
467,Keren pake banget,1,1,1,Positif,,
468,"sumpah, keren bangettttttttt ðŸ”¥ðŸ”¥ðŸ”¥",1,1,1,Positif,,
469,"Keren banget ini ,,,,",1,1,1,Positif,,
470,Td ada un1ty shok parahh,1,1,1,Positif,,
471,kerennnnnnnn,1,1,1,Positif,,
472,Chkky dan muslim blokkðŸ¤£ðŸ¤£ kalian bintang yðŸ”¥ðŸ”¥,0,1,1,Positif,,
473,"jadi teringat masa lalu, good job team.. senang rasanya liat youtuber animasi mulai masuk rewind. untuk rewind selanjutnya mungkin akan lebih sulit tapi jika ada yang mau mengerjakannya saya ucapkan semangat dan semoga sukses.. terima kasih",1,1,1,Positif,,
474,aku kok terharu banget malah lihatnya~,1,1,1,Positif,,1
475,GG KATA ILHAM REWIND NYA,1,1,1,Positif,,
476,3:09 ewing 4k,1,1,1,Positif,,
477,"Sebagai pencinta yt Indonesia yg ngikutin dr dulu gue merinding dan nangis nonton yt rewind Indonesia thn ini, parah! Perfect!Tengkyu kalian semua! weâ€™ll missyou skinnyindonesian24!",1,1,1,Positif,,
478,"I don't what to say. This is insaneðŸ”¥ðŸ”¥ðŸ”¥ 
thanks you for make its happen",1,1,1,Positif,,
479,keren bgt parahhhhh,1,1,1,Positif,,
480,"#RI2020
Keren bgtt anjayðŸ˜­ðŸ‡®ðŸ‡©ðŸ‘ðŸ¿",1,1,1,Positif,,
481,Keren banget ga ngerti lagi ðŸ˜­ðŸ˜­â¤ï¸â¤ï¸â¤ï¸,1,1,1,Positif,,
482,AAAAAAAAHHHH SUKAAAAA,1,1,1,Positif,,
483,#RI2020 #Trendingkan,1,1,1,Positif,,
484,P,0,0,0,Netral,,
485,KERENNNN BGT WOYYY ðŸ”¥ðŸŽ‰,1,1,1,Positif,,
486,Parah sih keren bgt,1,1,1,Positif,,
487,sedih euy,1,1,1,Positif,,
488,Waktu lathi sama blackpink beuh auto merinding wkwkwk,1,1,1,Positif,,
489,"Kerennn mo nangis,wewwww bgttt",1,1,1,Positif,,
490,Gilak woy kerennnnn ðŸ”¥ðŸ”¥ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
491,Big love and support for you allðŸ‘ŠðŸ»ðŸ‘ŠðŸ»,1,1,1,Positif,,
492,Gilak keren banget sih !!!!!!!!!!,1,1,1,Positif,,1
493,MANTAPP BANGG CHANNDDðŸ‡®ðŸ‡©ðŸ‘,1,1,1,Positif,,
494,gila anjirðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
495,KEREN BANGET KAKðŸ˜­ GA NYANGKA SECEPET INI 2020ðŸ¥²,1,1,1,Positif,,
496,merinding,1,1,1,Positif,,
497,Tersajikan dengan sangat baikkkkk,1,1,1,Positif,,
498,"bagus dan bersatu.karena ada sponsor yang nyata wkkwkwkw , ga kek tahun kemarin absurdd.
ini sih pecah abis",1,1,1,Positif,,
499,"Sumpahhh UAPIKKKKK PUOOOOLLLLLLLLLL!!!!!!
ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘
#RI2020",1,1,1,Positif,,
500,KEREENNNNN ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
501,WOYY KEREN BANGETTTTT,1,1,1,Positif,,
502,"2:42 ada UN1TY ternyata:""",1,1,1,Positif,,
503,kuwerennnnn ðŸ”¥,1,1,1,Positif,,
504,kerenn sumpa,1,1,1,Positif,,
505,KERENNN BNGT SIHHHHHHHHHH,1,1,1,Positif,,
506,pak muhhhhh gemoyðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
507,anak gg,1,1,1,Positif,,
508,KEREN BGT!ðŸ”¥,1,1,1,Positif,,
509,#RI2020 #Trending,1,1,1,Positif,,
510,"Gak berhenti2nya merinding gw.
Keren ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»
Semoga Indonesia cepat pulih dan makin tercipta persatuan dan kesatuan! ðŸ‘ŒðŸ‘ŒðŸ‘Œ",1,1,1,Positif,,
511,Keren parah,1,1,1,Positif,,
512,Nnggss kren bgett sob,1,1,1,Positif,,
513,"OMGGGG, KEREN BANGETT",1,1,1,Positif,,
514,"NANGIS:""",1,1,1,Positif,,
515,trending yuuuk,1,1,1,Positif,,
516,HADIAH TERINDAH PENUTUP TAHUNâ¤ï¸,1,1,1,Positif,,
517,"Kereennn bnggtttttt, fixx suatu hari nnt gua bkl berpartisipasi di rewind tahunan jugaa, sumpahh merindingg smpe nangiss",1,1,1,Positif,,
518,LORD KUNGKINGKANG SAYA TIDAK MELIHAT,0,0,0,Netral,,
519,JUJUR KEREN BANGET YA ALLAH NANGISSðŸ¥º!!!!!,1,1,1,Positif,,
520,GILAAA GILAAAAAAAA MERINDINGGG OIIII !!!!!!!!,1,1,1,Positif,,1
521,: )),0,1,1,Positif,,
522,Kacau keren banget sih ðŸ”¥,1,1,1,Positif,,
523,GOKILL KERENNN BANGET âœ¨â¤ï¸,1,1,1,Positif,,
524,"Kereeen bngt, sedih banget",1,1,1,Positif,,
525,Parah ini sihhh kerennn abis konsepny ..,1,1,1,Positif,,
526,go trendiiing,1,1,1,Positif,,
527,KEREN!!!!,1,1,1,Positif,,
528,Yg unlike itu siapa woyðŸ¥º,0,1,1,Positif,,
529,"Nahaaa mewekkk gua pas skinny kaya pamit... :'(
Semoga kalian tetap berkarya 
Dan buat kak Chandra sumpah ini KEREN banget
Pesan moral nyampe bgt.. tengkyu buat semua content creator YT INDONESIA.. LUAR BIASA",1,1,1,Positif,,
530,Daebakk!!,1,1,1,Positif,,
531,Up,1,1,1,Positif,,
532,Ericko lim mana ?,0,0,-1,Netral,,
533,Goks paraaaaaaah,1,1,1,Positif,,
534,Sungguh epic sekali.that's amazing #RI2020,1,1,1,Positif,,
535,Jujur merinding,1,1,1,Positif,,
536,GILAAAAAAA MERINDIIINGGGG,1,1,1,Positif,,
537,tolong ini keren bgt,1,1,1,Positif,,
538,Coba Mas Alip_Ba_Ta di ajakin bakalan trending dan musisi bule bnyak yang mereaction,0,1,0,Netral,,
539,#RI2020 #Trendingkan,1,1,1,Positif,,
540,"Gw dateng dari masa depan, kalo besok ini video bakal tranding, bahkan besok nya lagi tranding no 1",1,1,1,Positif,,
541,Bagus banget ðŸ‘,1,1,1,Positif,,
542,MERINDING ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
543,Demi apa aku nangiss ðŸ˜­,1,1,1,Positif,,
544,ini baru youtube rewind,1,1,1,Positif,,
545,Demi apa gua merinding dari awal Ampe akhir.,1,1,1,Positif,,
546,Gilaaa parah keren bangett!! semangat terus youtubers creator Indonesia,1,1,1,Positif,,
547,"Eclipse always,  sayang arap ga join.....",0,1,0,Netral,,
548,KEREN PAKE BANGET.,1,1,1,Positif,,
549,speechless,1,1,1,Positif,,
550,"Parahhh, kerennnnn ðŸ˜ðŸ˜ðŸ˜",1,1,1,Positif,,
551,"Viralkan
Trending kan
Hebohkan
Terkenal kan",1,1,1,Positif,,
552,kurang ria swðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0,0,0,Netral,,
553,Trending,1,1,1,Positif,,
554,KEREN BANGET KAKðŸ˜­ GA NYANGKA SECEPET INI 2020ðŸ¥²,1,1,1,Positif,,
555,"7:54 
asffjglglfjsjskajlakhfgak
savage  merinding badan",1,1,1,Positif,,
556,"Cinta produk lokal,mtp",1,1,1,Positif,,
557,Mantpap. Dah...,1,1,1,Positif,,
558,Terimakasih telah berkarya. Terimakasih telah menemani kami selama tahun ini yang penuh dengan tantangan.,1,1,1,Positif,,
559,Anj merinding,1,1,1,Positif,,
560,"Terimakasih para YouTubers sudah menghibur kami yang lagi di rumah aja, bravo!",1,1,1,Positif,,
561,THIS IS INSANE ðŸ”¥â¤ï¸ #RI2020,1,1,1,Positif,,
562,Daebak!!!!,1,1,1,Positif,,
563,Buseh ada iklannya wkwkwk,0,1,0,Netral,,
564,Well played,1,1,1,Positif,,
565,"Wow keren bangetttðŸ¤©ðŸ¤©ðŸ¤©, sayangnya lord Tara Art gabisa ikutan gegara kena coronaðŸ˜£,Btw rewind 2020 keren abislah pokoknya ðŸ‘",1,1,1,Positif,,
566,"Keren Paraaahhh,, Indonesia Bangga ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨",1,1,1,Positif,,
567,Ada bang budi sembrenget,0,1,1,Positif,,
568,Kereenn asfvcrsse,1,1,1,Positif,,
569,Mau nangiissss,1,1,1,Positif,,
570,Gokil mantap,1,1,1,Positif,,
571,Dunia harus liat ini!,1,1,1,Positif,,
572,Gilaa keren abiss ðŸ”¥ðŸ”¥,1,1,1,Positif,,
573,KEREN BANGEEETTTTTTT,1,1,1,Positif,,
574,AAAAAAA SUMPAH KEREN BANGETTTðŸ˜­â¤ï¸â¤ï¸â¤ï¸â¤ï¸ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©âœ¨ðŸ’•,1,1,1,Positif,,
575,"DEMI ALLAH GUE NANGIS, MERINDING",1,1,1,Positif,,
576,Nangis,1,1,1,Positif,,
577,Ini mah harus Trending!!!!!!!!!!,1,1,1,Positif,,
578,appreciate it,1,1,1,Positif,,
579,Arghhh keren bgt,1,1,1,Positif,,
580,Yang bikin gw sedih adalah ini rewind terakhir untuk skinny ðŸ˜­ðŸ˜­,1,1,1,Positif,,
581,MERINDING!!! GOKILL ABISSSSðŸ˜­ðŸ˜­ðŸ˜­ðŸ’˜ðŸ’˜ðŸ’˜ðŸ’˜ðŸ’˜,1,1,1,Positif,,
582,THE BEST YOUTUBE REWIND SO FAR ðŸŽ‰ðŸŽ‰ðŸŽ‰,1,1,1,Positif,,
583,Keren bgt .. Uhuyy,1,1,1,Positif,,
584,Seneng campur sedih liat nya,1,1,1,Positif,,
585,Mntp bgt bang jagoðŸ”¥,1,1,1,Positif,,
586,MANCA MANA,0,1,-1,Netral,,
587,I feel like I was on a movie cinema ðŸ¥ºðŸ˜­ðŸ‘ðŸ»,1,1,1,Positif,,
588,Keren rewind terbaik,1,1,1,Positif,,
589,Merinding sogðŸ‘ðŸ‘,1,1,1,Positif,,
590,Trending,1,1,1,Positif,,
591,"Merinding ahhh
Good job youtuber Indonesia ðŸ‘",1,1,1,Positif,,
592,"Gk tau mau komen apa lagi, keren parah!!ðŸ˜­ðŸ˜­ Bangga dengan para Content Creator Indonesia!â™¥ï¸ Paling bikin seneng scene Fadil dan Pak Muh joget ðŸ˜…ðŸ˜…",1,1,1,Positif,,
593,Waaaa kok netes ya.. kalian yg nemenin gue waktu sakit soalnyðŸ˜,1,1,1,Positif,,
594,D ulang2 tetep aja nanggis aq endingx... Terdebeeeeessss semuax yg terlibat d sini... Makasih bgt pesan kehidupanx masuk d hati dan otak...,1,1,1,Positif,,
595,3:09 ada yang nongol aowkowk,0,1,1,Positif,,
596,INI THE BEST SUMPAH,1,1,1,Positif,,
597,GilssssssðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
598,"Apresiasi sebanyak-banyaknya untuk kalian, gua pibadi merinding",1,1,1,Positif,,
599,"Keren Parah Sih
Salut gw sama konten kreator indonesia
I Love You",1,1,1,Positif,,
600,Terimakasih buat karya nyaðŸ”¥,1,1,1,Positif,,
601,KEREN BANGET GA NGERTI LAGIðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
602,TRENDINGKAN YA ALLAH....,1,1,1,Positif,,
603,"GOKIL, PETJAH PARAH SIHHðŸ’¯ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥",1,1,1,Positif,,
604,"be proud Indonesia, you have these people who can make u proud- internationally speaking. don't waste them :)",1,1,1,Positif,,
605,Besok.juga tranding 1,1,1,1,Positif,,
606,Keren!,1,1,1,Positif,,
607,"Kepaksa gua like dan kasih nilai 10/10 karena terlalu keren, ahh jancok",1,1,1,Positif,,
608,I'm not ready,0,0,0,Netral,,
609,Ohh ada dengðŸ˜˜,0,0,1,Netral,,
610,"Merindingg, keren baangettt :')",1,1,1,Positif,,
611,Keren betul ini video ðŸ˜‚ðŸ™,1,1,1,Positif,,
612,Bengong gw liat nya,1,1,1,Positif,,
613,Itu yg di awal video siapa?? kwkwkwk,0,1,0,Netral,,
614,"take a breath and give the highest RESPECT, to the TEAM ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",1,1,1,Positif,,
615,"gaa pernah comment di youtube, tapi ini gokil parah sih. sampe bingung bisa gaa sih like berkali-kali?!!! good job semuanya, keren bangeeet",1,1,1,Positif,,
616,"5:30 dari sini kita tau kenapa lagu ini ada,tapi penyanyi nya ga ada, karena dia tidak layak masuk sini chuaakkzz",-1,-1,-1,Negatif,,
617,yt rewind ter the best disutradarai oleh chandra beda kualitas sama 2019 oleh erickontollim,1,1,1,Positif,,
618,"YouTube rewind go,go,go trending!!!",1,1,1,Positif,,
619,keren bangettt ampe nangiss ðŸ‘ðŸ˜­,1,1,1,Positif,,
620,"HARUS TRENDINGGG, GABOLEH ENGGA TITIKK!!!!",1,1,1,Positif,,
621,Kerenn bngtttt,1,1,1,Positif,,
622,KECEEE,1,1,1,Positif,,
623,trending ga nih besok pagi?,1,1,1,Positif,,
624,Terimakasih buat semua yang terlibat ini keren bangetttt,1,1,1,Positif,,
625,Sedih:â€™),1,1,1,Positif,,
626,mostly keren parahhh woi !!!!,1,1,1,Positif,,
627,Keren parah pakk....,1,1,1,Positif,,
628,Keren bangett nangissssss,1,1,1,Positif,,
629,"Bahkan yang like lebih banyak daripada views nya :'), you guys amazing!",1,1,1,Positif,,
630,Keren abissssssss huwaaaaa makasih semuanyaaaaaðŸ˜­â¤â¤â¤,1,1,1,Positif,,1
631,"I dont know why have some people dislikes this video. This video too fine and masterpieces!
#lovefrommalaysia",1,1,1,Positif,,
632,"FIX JAUH LEBIH BAIK DARI YG 2018, NO DEBAT",1,1,1,Positif,,
633,EPIC COMEBACK!!!!!!!!!,1,1,1,Positif,,
634,kangen bgt sama semuanyaaa,1,1,1,Positif,,
635,Terima kasih sudah menutup 2020 yang penuh dengan kejutan yang mungkin tidak menyenangkan tp dengan adanya konten ini saya rasa kita semua mampu melewati nya bersama,1,1,1,Positif,,
